"","sim","N","effect1v2","effect2v3","effect1v3","stdev","dlow1v2","dhigh1v2","dlow1v3","dhigh1v3","dlow2v3","dhigh2v3","mdiff1v2","mdiff1v3","mdiff2v3","m1","m2","m3","mlow1v2","mhigh1v2","mlow1v3","mhigh1v3","mlow2v3","mhigh2v3","omniP","p1v2","p2v3","p1v3","quadeP","quadeP1v2","quadeP2v3","quadeP1v3","overallBF","BF1v2","BF1v3","BF2v3","oompcc","oomchance"
"38",8,500,0.0443421438897541,-0.0579133938752664,-0.0136841818983751,11.5,-0.0433754394835748,0.132015348850128,-0.101333691923021,0.0739790350690986,-0.145610261658063,0.0298413965399431,0.14,-0.044,-0.184,3.432,3.292,3.476,-0.137414456152063,0.417414456152063,-0.326521548403451,0.238521548403451,-0.463162157637955,0.0951621576379547,0.402451872556435,0.965736119124857,0.58777493903661,1,0.502171435655228,1,0.757901152187639,1,0.021077371821858,0.0819100635202432,0.0526653711938402,0.115539560670221,0.36,0.661
"39",9,500,0.0333687491032248,-0.0320132600571963,0.00246968615994951,11.5,-0.0543246425805772,0.121028731228788,-0.0851839387597665,0.0901208370728511,-0.119671975650097,0.0556775092953774,0.106,0.008,-0.098,3.368,3.262,3.36,-0.173115322529642,0.385115322529642,-0.276620356829796,0.292620356829796,-0.366976236624149,0.170976236624149,0.705533249069455,1,1,1,0.660917459582663,1,1,1,0.0107659875753962,0.0662878681200458,0.0503469699280892,0.0648452687712841,0.362,0.549
"40",10,500,-0.054197436119729,0.000626889863501695,-0.05334353684565,11.5,-0.141887021346646,0.0335463658962185,-0.141031534190678,0.0343978254077657,-0.0870256868155017,0.0882788385542091,-0.166,-0.164,0.002,3.31,3.476,3.474,-0.435120688788747,0.103120688788747,-0.43413433027126,0.10613433027126,-0.278321551291337,0.282321551291337,0.391550522849495,0.678382314595107,1,0.700546352030826,0.169777277282221,0.24445949781815,1,0.408486676636362,0.02022339582565,0.104208777443743,0.10186404442644,0.0502756170889346,0.374,0.054
"41",1,1000,-0.0278054297289817,-0.014988671802343,-0.0425657168292113,11.5,-0.0897899655881853,0.0341930159229778,-0.104562667350604,0.0194525169067184,-0.0769679085363507,0.0469980650330676,-0.088,-0.135,-0.047,3.271,3.359,3.406,-0.284393739988594,0.108393739988594,-0.331810559898123,0.0618105598981235,-0.2415849681425,0.1475849681425,0.389956354796271,1,1,0.535778989724259,0.273144682036688,0.879267080204396,1,0.340479756464453,0.010396773442818,0.0523575729516891,0.0878156332824185,0.0398373443452734,0.353,0.578
"42",2,1000,-0.00250611044913715,0.0180436849870679,0.0149039448362567,11.5,-0.064485083951718,0.0594741172025278,-0.0470827315343034,0.0768831634925173,-0.0439453806931055,0.0800237223162319,-0.008,0.047,0.055,3.36,3.368,3.313,-0.20609082449023,0.19009082449023,-0.148691158092735,0.242691158092735,-0.134152477043165,0.244152477043165,0.835246947687058,1,1,1,0.60456706061616,1,1,0.963986947029283,0.00460927196108275,0.0357285889272382,0.0397870886046533,0.0418921528100542,0.356,0.351
"43",3,1000,0.0246190081890043,-0.00223052135369846,0.0234610666232812,11.5,-0.0373760510815956,0.0866017507133902,-0.0385328399636113,0.085443235465577,-0.0642095435717431,0.0597496170992889,0.079,0.072,-0.007,3.472,3.393,3.4,-0.120127443642489,0.278127443642489,-0.118440504600279,0.262440504600279,-0.201744963445993,0.187744963445993,0.67839158030442,1,1,1,0.70424719249202,1,1,1,0.00577985500016076,0.0481768328354134,0.0468588468432028,0.0357053463506584,0.349,0.869
"44",4,1000,0.0638782452194015,-0.0147214904856332,0.0497681598534255,11.5,0.00181954837149429,0.125905036662926,-0.012262177358283,0.111773620406862,-0.0767006709686607,0.047265056433085,0.199,0.153,-0.046,3.487,3.288,3.334,0.00568093808349243,0.392319061916508,-0.0377719098141052,0.343771909814105,-0.239901258999651,0.147901258999651,0.105460578643981,0.130947415643268,1,0.347545817042759,0.214931108371226,0.251140182384945,1,0.795414702586681,0.0405406468058368,0.271200747230343,0.122249137148664,0.0396800447443873,0.355333333333333,0.411
"45",5,1000,0.0207934980009715,-0.0494919007269818,-0.0282580775908002,11.5,-0.0411979112248683,0.082774503504147,-0.0902428937470466,0.0337408746273126,-0.111497005214225,0.0125379426514552,0.064,-0.088,-0.152,3.296,3.232,3.384,-0.126997199262948,0.254997199262948,-0.281247835735386,0.105247835735386,-0.342582945471475,0.0385829454714746,0.294960010220336,1,0.353648640577528,1,0.124622798474558,1,0.134478366097355,0.554287149908487,0.0135323105511536,0.0441820059178483,0.0530236253970066,0.120593388982178,0.359333333333333,0.147
"46",6,1000,0.0129592953875296,-0.00747386681498851,0.00546107370333964,11.5,-0.04902605436232,0.0749381603304499,-0.0565202583826182,0.0674396728993623,-0.0694523661150558,0.054508372592892,0.041,0.017,-0.024,3.43,3.389,3.413,-0.155325651605696,0.237325651605696,-0.176172572503981,0.210172572503981,-0.223269333032899,0.175269333032899,0.918667854328313,1,1,1,0.846462733445144,1,1,1,0.0041849136911431,0.0387269565288501,0.0361503791376928,0.0366226157947628,0.35,0.814
"47",7,1000,-0.0121545837518477,-0.0302975099805909,-0.0421272732008765,11.5,-0.0741333366384979,0.0498302513238227,-0.104123757603387,0.0198902755612098,-0.0922836678458586,0.0317038033117203,-0.038,-0.133,-0.095,3.283,3.321,3.416,-0.232007306422487,0.156007306422487,-0.328912827089104,0.0629128270891041,-0.289576885682448,0.0995768856824479,0.386089729622877,1,1,0.549313258428505,0.405796323217875,1,1,0.538334603824251,0.0110787252526739,0.0383388114405676,0.0862078359800206,0.0562732746574485,0.357333333333333,0.28
